aggregation,horizon_eval,var_coeff,ensemble_size,seed,task,reward,success
max,5,0.01,1,3,humanoid-run,188.4,0.00
max,5,1.0,1,1,humanoid-run,182.9,0.00
max,5,1.0,1,2,humanoid-run,186.7,0.00
max,5,1.0,1,3,humanoid-run,188.4,0.00
max,5,10.0,1,1,humanoid-run,182.9,0.00
max,5,10.0,1,2,humanoid-run,186.7,0.00
max,5,10.0,1,3,humanoid-run,188.4,0.00
min,5,0.0,1,1,humanoid-run,182.9,0.00
min,5,0.0,1,2,humanoid-run,186.7,0.00
min,5,0.0,1,3,humanoid-run,188.4,0.00
min,5,0.001,1,1,humanoid-run,182.9,0.00
min,5,0.001,1,2,humanoid-run,186.7,0.00
min,5,0.001,1,3,humanoid-run,188.4,0.00
min,5,0.01,1,1,humanoid-run,182.9,0.00
min,5,0.01,1,2,humanoid-run,186.7,0.00
min,5,0.01,1,3,humanoid-run,188.4,0.00
min,5,1.0,1,1,humanoid-run,182.9,0.00
min,5,1.0,1,2,humanoid-run,186.7,0.00
min,5,1.0,1,3,humanoid-run,188.4,0.00
min,5,10.0,1,1,humanoid-run,182.9,0.00
min,5,10.0,1,2,humanoid-run,186.7,0.00
min,5,10.0,1,3,humanoid-run,188.4,0.00
mean,7,0.0,1,1,humanoid-run,185.9,0.00
mean,7,0.0,1,2,humanoid-run,183.8,0.00
mean,7,0.0,1,3,humanoid-run,188.5,0.00
mean,7,0.001,1,1,humanoid-run,185.9,0.00
mean,7,0.001,1,2,humanoid-run,183.8,0.00
mean,7,0.001,1,3,humanoid-run,188.5,0.00
mean,7,0.01,1,1,humanoid-run,185.9,0.00
mean,7,0.01,1,2,humanoid-run,183.8,0.00
mean,7,0.01,1,3,humanoid-run,188.5,0.00
mean,7,1.0,1,1,humanoid-run,185.9,0.00
mean,7,1.0,1,2,humanoid-run,183.8,0.00
mean,7,1.0,1,3,humanoid-run,188.5,0.00
mean,7,10.0,1,1,humanoid-run,185.9,0.00
mean,7,10.0,1,2,humanoid-run,183.8,0.00
mean,7,10.0,1,3,humanoid-run,188.5,0.00
max,7,0.0,1,1,humanoid-run,185.9,0.00
max,7,0.0,1,2,humanoid-run,183.8,0.00
max,7,0.0,1,3,humanoid-run,188.5,0.00
max,7,0.001,1,1,humanoid-run,185.9,0.00
max,7,0.001,1,2,humanoid-run,183.8,0.00
mean,3,0.0,2,1,humanoid-run,503.3,0.00
mean,3,0.0,3,1,humanoid-run,618.1,0.00
mean,3,0.0,2,2,humanoid-run,541.4,0.00
mean,3,0.0,3,2,humanoid-run,602.3,0.00
mean,3,0.0,2,3,humanoid-run,611.7,0.00
mean,3,0.0,3,3,humanoid-run,621.5,0.00
mean,3,0.001,3,1,humanoid-run,620.3,0.00
mean,3,0.001,2,1,humanoid-run,622.6,0.00
mean,3,0.001,3,2,humanoid-run,617.3,0.00
mean,3,0.001,2,2,humanoid-run,450.8,0.00
mean,3,0.001,3,3,humanoid-run,619.2,0.00
mean,3,0.001,2,3,humanoid-run,628.1,0.00
mean,3,0.01,3,1,humanoid-run,586.8,0.00
mean,3,0.01,2,1,humanoid-run,591.3,0.00
mean,3,0.01,3,2,humanoid-run,598.9,0.00
mean,3,0.01,2,2,humanoid-run,565.5,0.00
mean,3,0.01,3,3,humanoid-run,609.4,0.00
mean,3,0.01,2,3,humanoid-run,508.6,0.00
mean,3,1.0,3,1,humanoid-run,607.1,0.00
mean,3,1.0,2,1,humanoid-run,519.9,0.00
mean,3,1.0,3,2,humanoid-run,576.7,0.00
mean,3,1.0,2,2,humanoid-run,509.6,0.00
mean,3,1.0,3,3,humanoid-run,565.2,0.00
mean,3,1.0,2,3,humanoid-run,496.5,0.00
mean,3,10.0,3,1,humanoid-run,463.1,0.00
mean,3,10.0,2,1,humanoid-run,357.5,0.00
mean,3,10.0,3,2,humanoid-run,416.8,0.00
mean,3,10.0,2,2,humanoid-run,446.4,0.00
mean,3,10.0,3,3,humanoid-run,428.7,0.00
mean,3,10.0,2,3,humanoid-run,400.7,0.00
mean,5,0.0,3,1,humanoid-run,626.4,0.00
mean,5,0.0,2,1,humanoid-run,551.9,0.00
mean,5,0.0,3,2,humanoid-run,612.1,0.00
mean,5,0.0,2,2,humanoid-run,522.9,0.00
mean,5,0.0,3,3,humanoid-run,629.8,0.00
mean,5,0.0,2,3,humanoid-run,513.8,0.00
mean,5,0.001,3,1,humanoid-run,606.5,0.00
mean,5,0.001,2,1,humanoid-run,498.5,0.00
mean,5,0.001,3,2,humanoid-run,638.8,0.00
mean,5,0.001,2,2,humanoid-run,573.8,0.00
mean,5,0.001,3,3,humanoid-run,625.0,0.00
mean,5,0.001,2,3,humanoid-run,640.9,0.00
mean,5,0.01,3,1,humanoid-run,608.5,0.00
mean,5,0.01,2,1,humanoid-run,523.3,0.00
mean,5,0.01,3,2,humanoid-run,605.9,0.00
mean,5,0.01,2,2,humanoid-run,494.2,0.00
mean,5,0.01,3,3,humanoid-run,628.0,0.00
mean,5,0.01,2,3,humanoid-run,601.0,0.00
mean,5,1.0,3,1,humanoid-run,582.9,0.00
mean,5,1.0,3,2,humanoid-run,573.4,0.00
mean,5,1.0,2,1,humanoid-run,496.2,0.00
mean,5,1.0,3,3,humanoid-run,602.0,0.00
mean,5,1.0,2,2,humanoid-run,481.8,0.00
mean,5,10.0,3,1,humanoid-run,430.5,0.00
mean,5,1.0,2,3,humanoid-run,529.1,0.00
mean,5,10.0,3,2,humanoid-run,449.4,0.00
mean,5,10.0,2,1,humanoid-run,493.2,0.00
mean,5,10.0,3,3,humanoid-run,521.2,0.00
mean,5,10.0,2,2,humanoid-run,439.2,0.00
mean,7,0.0,3,1,humanoid-run,626.2,0.00
mean,5,10.0,2,3,humanoid-run,478.8,0.00
mean,7,0.0,3,2,humanoid-run,627.0,0.00
mean,7,0.0,2,1,humanoid-run,632.0,0.00
mean,7,0.0,3,3,humanoid-run,620.9,0.00
mean,7,0.0,2,2,humanoid-run,496.7,0.00
mean,7,0.001,3,1,humanoid-run,621.8,0.00
mean,7,0.0,2,3,humanoid-run,604.3,0.00
mean,7,0.001,3,2,humanoid-run,618.1,0.00
mean,7,0.001,2,1,humanoid-run,509.5,0.00
mean,7,0.001,3,3,humanoid-run,623.3,0.00
mean,7,0.001,2,2,humanoid-run,484.4,0.00
mean,7,0.01,3,1,humanoid-run,599.8,0.00
mean,7,0.001,2,3,humanoid-run,640.3,0.00
mean,7,0.01,3,2,humanoid-run,632.4,0.00
mean,7,0.01,2,1,humanoid-run,570.1,0.00
mean,7,0.01,3,3,humanoid-run,635.7,0.00
mean,7,0.01,2,2,humanoid-run,562.7,0.00
mean,7,1.0,3,1,humanoid-run,607.4,0.00
mean,7,0.01,2,3,humanoid-run,633.5,0.00
mean,7,1.0,3,2,humanoid-run,615.8,0.00
mean,7,1.0,2,1,humanoid-run,505.2,0.00
mean,7,1.0,3,3,humanoid-run,604.9,0.00
mean,7,1.0,2,2,humanoid-run,486.9,0.00
mean,7,10.0,3,1,humanoid-run,399.5,0.00
mean,7,1.0,2,3,humanoid-run,605.0,0.00
mean,7,10.0,3,2,humanoid-run,454.9,0.00
mean,7,10.0,2,1,humanoid-run,426.2,0.00
mean,7,10.0,3,3,humanoid-run,490.7,0.00
mean,7,10.0,2,2,humanoid-run,472.6,0.00
mean,10,0.0,3,1,humanoid-run,613.0,0.00
mean,7,10.0,2,3,humanoid-run,379.5,0.00
mean,10,0.0,3,2,humanoid-run,610.0,0.00
mean,10,0.0,2,1,humanoid-run,528.0,0.00
mean,10,0.0,3,3,humanoid-run,635.5,0.00
mean,10,0.0,2,2,humanoid-run,448.5,0.00
mean,10,0.001,3,1,humanoid-run,603.2,0.00
mean,10,0.0,2,3,humanoid-run,509.1,0.00
mean,10,0.001,3,2,humanoid-run,624.1,0.00
mean,10,0.001,2,1,humanoid-run,561.9,0.00
mean,10,0.001,3,3,humanoid-run,618.3,0.00
mean,10,0.001,2,2,humanoid-run,514.6,0.00
mean,10,0.01,3,1,humanoid-run,609.6,0.00
mean,10,0.001,2,3,humanoid-run,642.8,0.00
mean,10,0.01,3,2,humanoid-run,609.1,0.00
mean,10,0.01,2,1,humanoid-run,508.1,0.00
mean,10,0.01,3,3,humanoid-run,633.7,0.00
mean,10,0.01,2,2,humanoid-run,438.2,0.00
mean,10,1.0,3,1,humanoid-run,603.3,0.00
mean,10,0.01,2,3,humanoid-run,568.6,0.00
mean,10,1.0,3,2,humanoid-run,618.4,0.00
mean,10,1.0,2,1,humanoid-run,510.4,0.00
mean,10,1.0,3,3,humanoid-run,607.6,0.00
mean,10,1.0,2,2,humanoid-run,442.0,0.00
mean,10,10.0,3,1,humanoid-run,415.0,0.00
mean,10,1.0,2,3,humanoid-run,586.3,0.00
mean,10,10.0,3,2,humanoid-run,429.3,0.00
mean,10,10.0,2,1,humanoid-run,412.5,0.00
mean,10,10.0,3,3,humanoid-run,516.8,0.00
mean,10,10.0,2,2,humanoid-run,440.3,0.00
mean,15,0.0,3,1,humanoid-run,628.5,0.00
mean,10,10.0,2,3,humanoid-run,511.1,0.00
mean,15,0.0,3,2,humanoid-run,633.2,0.00
mean,15,0.0,2,1,humanoid-run,636.5,0.00
mean,15,0.0,3,3,humanoid-run,627.6,0.00
mean,15,0.0,2,2,humanoid-run,568.8,0.00
mean,15,0.001,3,1,humanoid-run,601.2,0.00
mean,15,0.0,2,3,humanoid-run,646.6,0.00
mean,15,0.001,3,2,humanoid-run,624.7,0.00
mean,15,0.001,2,1,humanoid-run,538.7,0.00
mean,15,0.001,3,3,humanoid-run,623.0,0.00
mean,15,0.001,2,2,humanoid-run,438.7,0.00
mean,15,0.01,3,1,humanoid-run,593.8,0.00
mean,15,0.001,2,3,humanoid-run,538.9,0.00
mean,15,0.01,3,2,humanoid-run,597.6,0.00
mean,15,0.01,2,1,humanoid-run,559.3,0.00
mean,15,0.01,3,3,humanoid-run,608.3,0.00
mean,15,0.01,2,2,humanoid-run,538.7,0.00
mean,15,1.0,3,1,humanoid-run,612.2,0.00
mean,15,0.01,2,3,humanoid-run,638.0,0.00
mean,15,1.0,3,2,humanoid-run,603.1,0.00
mean,15,1.0,2,1,humanoid-run,540.9,0.00
mean,15,1.0,3,3,humanoid-run,614.4,0.00
mean,15,1.0,2,2,humanoid-run,578.3,0.00
mean,15,10.0,3,1,humanoid-run,375.6,0.00
mean,15,10.0,3,2,humanoid-run,383.6,0.00
mean,15,1.0,2,3,humanoid-run,636.0,0.00
mean,15,10.0,3,3,humanoid-run,415.2,0.00
mean,15,10.0,2,1,humanoid-run,442.9,0.00
mean,3,0.0,3,1,humanoid-run,584.9,0.00
mean,15,10.0,2,2,humanoid-run,443.6,0.00
mean,3,0.0,3,2,humanoid-run,581.8,0.00
mean,15,10.0,2,3,humanoid-run,429.0,0.00
mean,3,0.0,3,3,humanoid-run,595.2,0.00
mean,3,0.0,2,1,humanoid-run,567.1,0.00
mean,3,0.001,3,1,humanoid-run,583.4,0.00
mean,3,0.0,2,2,humanoid-run,588.3,0.00
mean,3,0.001,3,2,humanoid-run,574.3,0.00
mean,3,0.0,2,3,humanoid-run,581.9,0.00
mean,3,0.001,3,3,humanoid-run,594.8,0.00
mean,3,0.001,2,1,humanoid-run,539.8,0.00
mean,3,0.01,3,1,humanoid-run,578.5,0.00
mean,3,0.001,2,2,humanoid-run,579.7,0.00
mean,3,0.01,3,2,humanoid-run,575.5,0.00
mean,3,0.001,2,3,humanoid-run,572.3,0.00
mean,3,0.01,3,3,humanoid-run,560.8,0.00
mean,3,0.01,2,1,humanoid-run,570.5,0.00
mean,3,1.0,3,1,humanoid-run,588.3,0.00
mean,3,0.01,2,2,humanoid-run,555.5,0.00
mean,3,1.0,3,2,humanoid-run,555.5,0.00
mean,3,0.01,2,3,humanoid-run,573.0,0.00
mean,3,1.0,3,3,humanoid-run,611.7,0.00
mean,3,1.0,2,1,humanoid-run,535.7,0.00
mean,3,10.0,3,1,humanoid-run,343.5,0.00
mean,3,1.0,2,2,humanoid-run,549.0,0.00
mean,3,10.0,3,2,humanoid-run,356.2,0.00
mean,3,1.0,2,3,humanoid-run,571.8,0.00
mean,3,10.0,3,3,humanoid-run,382.5,0.00
mean,3,10.0,2,1,humanoid-run,444.6,0.00
mean,5,0.0,3,1,humanoid-run,602.0,0.00
mean,3,10.0,2,2,humanoid-run,449.3,0.00
mean,5,0.0,3,2,humanoid-run,590.2,0.00
mean,3,10.0,2,3,humanoid-run,445.7,0.00
mean,5,0.0,3,3,humanoid-run,611.9,0.00
mean,5,0.001,3,1,humanoid-run,609.4,0.00
mean,5,0.0,2,1,humanoid-run,574.4,0.00
mean,5,0.001,3,2,humanoid-run,619.2,0.00
mean,5,0.0,2,2,humanoid-run,576.9,0.00
mean,5,0.001,3,3,humanoid-run,588.7,0.00
mean,5,0.0,2,3,humanoid-run,582.0,0.00
mean,5,0.01,3,1,humanoid-run,601.0,0.00
mean,5,0.001,2,1,humanoid-run,586.1,0.00
mean,5,0.01,3,2,humanoid-run,618.1,0.00
mean,5,0.001,2,2,humanoid-run,585.7,0.00
mean,5,0.01,3,3,humanoid-run,613.6,0.00
mean,5,0.001,2,3,humanoid-run,593.9,0.00
mean,5,1.0,3,1,humanoid-run,570.7,0.00
mean,5,0.01,2,1,humanoid-run,591.8,0.00
mean,5,1.0,3,2,humanoid-run,587.0,0.00
mean,5,0.01,2,2,humanoid-run,570.6,0.00
mean,5,1.0,3,3,humanoid-run,593.7,0.00
mean,5,0.01,2,3,humanoid-run,591.5,0.00
mean,5,10.0,3,1,humanoid-run,449.2,0.00
mean,5,1.0,2,1,humanoid-run,577.3,0.00
mean,5,10.0,3,2,humanoid-run,401.6,0.00
mean,5,1.0,2,2,humanoid-run,549.4,0.00
mean,5,10.0,3,3,humanoid-run,438.2,0.00
mean,5,1.0,2,3,humanoid-run,568.7,0.00
mean,7,0.0,3,1,humanoid-run,598.3,0.00
mean,5,10.0,2,1,humanoid-run,497.9,0.00
mean,7,0.0,3,2,humanoid-run,609.2,0.00
mean,5,10.0,2,2,humanoid-run,516.0,0.00
mean,7,0.0,3,3,humanoid-run,604.3,0.00
mean,5,10.0,2,3,humanoid-run,526.3,0.00
mean,7,0.001,3,1,humanoid-run,611.0,0.00
mean,7,0.0,2,1,humanoid-run,583.0,0.00
mean,7,0.001,3,2,humanoid-run,582.9,0.00
mean,7,0.0,2,2,humanoid-run,552.3,0.00
mean,7,0.001,3,3,humanoid-run,596.9,0.00
mean,7,0.0,2,3,humanoid-run,583.3,0.00
mean,7,0.01,3,1,humanoid-run,579.6,0.00
mean,7,0.001,2,1,humanoid-run,588.4,0.00
mean,7,0.01,3,2,humanoid-run,597.6,0.00
mean,7,0.001,2,2,humanoid-run,586.6,0.00
mean,7,0.01,3,3,humanoid-run,602.2,0.00
mean,7,0.001,2,3,humanoid-run,589.0,0.00
mean,7,1.0,3,1,humanoid-run,590.3,0.00
mean,7,0.01,2,1,humanoid-run,578.4,0.00
mean,7,1.0,3,2,humanoid-run,599.0,0.00
mean,7,0.01,2,2,humanoid-run,586.5,0.00
mean,7,1.0,3,3,humanoid-run,589.1,0.00
mean,7,0.01,2,3,humanoid-run,577.0,0.00
mean,7,10.0,3,1,humanoid-run,435.6,0.00
mean,7,1.0,2,1,humanoid-run,566.7,0.00
mean,7,10.0,3,2,humanoid-run,356.9,0.00
mean,7,1.0,2,2,humanoid-run,573.6,0.00
mean,7,10.0,3,3,humanoid-run,408.8,0.00
mean,7,1.0,2,3,humanoid-run,580.8,0.00
mean,10,0.0,3,1,humanoid-run,571.1,0.00
mean,7,10.0,2,1,humanoid-run,505.7,0.00
mean,10,0.0,3,2,humanoid-run,541.6,0.00
mean,7,10.0,2,2,humanoid-run,510.9,0.00
mean,10,0.0,3,3,humanoid-run,597.3,0.00
mean,7,10.0,2,3,humanoid-run,523.3,0.00
mean,10,0.001,3,1,humanoid-run,615.6,0.00
mean,10,0.0,2,1,humanoid-run,580.4,0.00
mean,10,0.001,3,2,humanoid-run,603.0,0.00
mean,10,0.0,2,2,humanoid-run,573.5,0.00
mean,10,0.001,3,3,humanoid-run,609.2,0.00
mean,10,0.0,2,3,humanoid-run,588.2,0.00
mean,10,0.01,3,1,humanoid-run,583.9,0.00
mean,10,0.001,2,1,humanoid-run,584.3,0.00
mean,10,0.01,3,2,humanoid-run,599.7,0.00
mean,10,0.001,2,2,humanoid-run,581.1,0.00
mean,10,0.01,3,3,humanoid-run,606.7,0.00
mean,10,0.001,2,3,humanoid-run,570.4,0.00
mean,10,1.0,3,1,humanoid-run,589.5,0.00
mean,10,0.01,2,1,humanoid-run,574.1,0.00
mean,10,1.0,3,2,humanoid-run,579.1,0.00
mean,10,0.01,2,2,humanoid-run,595.0,0.00
mean,10,1.0,3,3,humanoid-run,601.2,0.00
mean,10,0.01,2,3,humanoid-run,577.7,0.00
mean,10,10.0,3,1,humanoid-run,419.0,0.00
mean,10,1.0,2,1,humanoid-run,523.1,0.00
mean,10,10.0,3,2,humanoid-run,462.3,0.00
mean,10,1.0,2,2,humanoid-run,561.6,0.00
mean,10,10.0,3,3,humanoid-run,404.1,0.00
mean,10,1.0,2,3,humanoid-run,586.8,0.00
mean,15,0.0,3,1,humanoid-run,604.1,0.00
mean,10,10.0,2,1,humanoid-run,483.0,0.00
mean,15,0.0,3,2,humanoid-run,584.9,0.00
mean,10,10.0,2,2,humanoid-run,499.1,0.00
mean,15,0.0,3,3,humanoid-run,606.7,0.00
mean,10,10.0,2,3,humanoid-run,474.0,0.00
mean,15,0.001,3,1,humanoid-run,583.0,0.00
mean,15,0.0,2,1,humanoid-run,581.3,0.00
mean,15,0.001,3,2,humanoid-run,593.9,0.00
mean,15,0.0,2,2,humanoid-run,586.2,0.00
mean,15,0.001,3,3,humanoid-run,599.9,0.00
mean,15,0.0,2,3,humanoid-run,542.4,0.00
mean,15,0.01,3,1,humanoid-run,605.5,0.00
mean,15,0.001,2,1,humanoid-run,571.8,0.00
mean,15,0.01,3,2,humanoid-run,591.8,0.00
mean,15,0.001,2,2,humanoid-run,578.6,0.00
mean,15,0.01,3,3,humanoid-run,569.6,0.00
mean,15,0.001,2,3,humanoid-run,574.3,0.00
mean,15,1.0,3,1,humanoid-run,595.2,0.00
mean,15,0.01,2,1,humanoid-run,588.5,0.00
mean,15,1.0,3,2,humanoid-run,578.2,0.00
mean,15,0.01,2,2,humanoid-run,595.6,0.00
mean,15,1.0,3,3,humanoid-run,597.1,0.00
mean,15,0.01,2,3,humanoid-run,592.8,0.00
mean,15,10.0,3,1,humanoid-run,336.6,0.00
mean,15,1.0,2,1,humanoid-run,575.3,0.00
mean,15,10.0,3,2,humanoid-run,391.4,0.00
mean,15,1.0,2,2,humanoid-run,580.4,0.00
mean,15,10.0,3,3,humanoid-run,400.8,0.00
mean,3,0.0,3,1,humanoid-run,593.4,0.00
mean,15,1.0,2,3,humanoid-run,566.5,0.00
mean,3,0.0,3,2,humanoid-run,602.7,0.00
mean,15,10.0,2,1,humanoid-run,519.9,0.00
mean,3,0.0,3,3,humanoid-run,614.5,0.00
mean,15,10.0,2,2,humanoid-run,454.9,0.00
